Rate of New Cases,Rate of Vaccination
0.25,0.428571429
-0.2,0.2
-0.375,0.063133333
0.6,0.056687778
0,0.243457362
0.25,0.213162479
0.1,0.2
0.272727273,0.17799305
-0.428571429,0.070588726
-0.375,0.057252404
1.4,0.061761633
0.25,0.098866491
-0.133333333,0.118978379
0.230769231,0.177024482
-0.25,0.080824
-0.166666667,0.17905598
-0.5,-1
1.6,
-0.461538462,
1.428571429,
-0.294117647,
0.416666667,
-0.470588235,
-0.555555556,
1.5,
-0.5,
1,
-0.1,
0,
0.444444444,
-0.461538462,
1.428571429,
0.176470588,
-0.6,
1.25,
-0.388888889,
-0.272727273,
-0.125,
0.285714286,
-0.111111111,
0.75,
-0.571428571,
-0.166666667,
0.2,
0.5,
0.555555556,
-0.285714286,
1.1,
-0.095238095,
-0.210526316,
0,
0.333333333,
-0.3,
0.642857143,
-0.130434783,
-0.1,
1.444444444,
-0.659090909,
-0.333333333,
0.7,
1.176470588,
-0.108108108,
-0.303030303,
0.086956522,
-0.48,
0,
0.076923077,
-0.142857143,
0.25,
0.266666667,
-0.526315789,
0.444444444,
0.230769231,
-0.4375,
-0.222222222,
0.142857143,
0.125,
-0.777777778,
2.5,
0.571428571,
-0.727272727,
0.666666667,
0.8,
-0.666666667,
0.333333333,
0,
0,
2,
-0.166666667,0.023343948
0.7,0.015593701
0,0.030877998
-0.352941176,0.033644799
-0.181818182,0.033021959
0.444444444,0.015846601
-0.307692308,0.007882742
0.444444444,0.030821798
-0.538461538,0.026178237
1.166666667,0.03357846
-0.692307692,0.032995172
3,0.031664123
0,0.019499215
0.125,0.011818487
-0.222222222,0.015205662
-0.642857143,0.027671448
2,0.028943911
-0.8,0.029148731
1,0.023836633
1.333333333,0.010014091
0,0.006014388
-0.214285714,0.011585664
0.181818182,0.013881709
0.153846154,0.021447178
-0.466666667,0.022310438
0.625,-1
-0.307692308,
1.666666667,
-0.541666667,
0.272727273,0.020212037
0.714285714,0.021325212
-0.166666667,0.016956731
0.65,-1
0.272727273,
-0.30952381,
0.103448276,
0.3125,0.020050338
-0.023809524,-1
0,
0.219512195,0.011135591
-0.62,0.005106709
1.684210526,0.005079503
-0.470588235,0.01256183
0.111111111,0.013281612
0.4,0.00971909
0.142857143,0.01266899
0.333333333,0.010230833
0.328125,0.005126779
0.423529412,0.004411685
-0.157024793,0.011599941
0.039215686,0.011190258
-0.20754717,0.01042968
0.345238095,0.011849601
0.283185841,0.011263321
-0.117241379,0.006699432
-0.0859375,0.004362384
-0.111111111,0.012527958
0.403846154,0.011735119
0.095890411,0.011918968
-0.025,0.013636101
0.096153846,0.012169025
-0.035087719,0.006755493
-0.006060606,0.005010353
0.12195122,0.012651646
0.125,0.012192538
0.222222222,0.01110832
-0.276679842,0.012935119
0.207650273,0.011757441
0.14479638,0.005967222
-0.09486166,0.00458831
-0.021834061,0.012261824
0.129464286,0.011936089
0.193675889,0.012284043
0.016556291,0.01384988
0.149837134,0.012218711
-0.21529745,0.00618656
0.090252708,0.00508894
0.258278146,0.013858934
-0.034210526,0.013577068
0.013623978,0.01408037
0.11827957,0.014365241
0.185096154,0.013287765
-0.109533469,0.008858987
0.179954442,0.012948885
-0.069498069,0.014796097
0.404564315,0.014357065
0.103397341,0.016106343
-0.053547523,0.015445954
0.260254597,0.015724288
0.017957351,0.010162368
-0.014332966,0.008269556
-0.067114094,0.014863501
0.164268585,0.015119703
0.148300721,0.016230495
-0.124663677,0.013992375
0.146516393,0.015081989
0.18051832,0.010764679
0.025738077,0.009013251
-0.072324723,0.012507918
-0.025457438,0.015489199
0.19755102,0.015197055
0.12338105,0.012809286
0.056432039,0.013613057
-0.04078116,0.009920611
-0.080239521,0.006581218
-0.045572917,0.010497147
0.156889495,0.011688414
0.017099057,0.01256074
0.084057971,0.01234679
0.109625668,0.011303115
-0.221204819,0.007728942
0.064356436,0.005716044
-0.08255814,0.009180028
0.041191381,0.009817483
0.129640901,0.016762856
-0.030172414,0.010837678
0.031111111,0.011502294
-0.153017241,0.008322855
-0.045801527,0.007022506
0.054666667,0.011130341
0.048672566,0.010938618
0.090415913,0.011170759
-0.024875622,0.011297948
0.057256236,0.009126163
-0.060589812,0.006726029
-0.159817352,0.004759541
0.277173913,0.009027598
-0.036170213,0.00949749
0.324503311,0.00888808
-0.1425,0.009513494
0.134596696,0.008536816
-0.198286938,0.005513981
0.080662393,0.003636723
0.180919427,0.004923538
-0.151946421,0.007892605
0.093780849,0.007444004
0.13898917,0.006953763
-0.003565769,0.006507455
-0.049701789,0.00418472
-0.123012552,0.002915828
-0.118320611,0.005616718
0.097943723,0.005819792
0.35239034,0.005323179
-0.077259475,0.005362745
-0.08728278,0.005042981
-0.059714409,0.00295902
-0.052462034,0.002454584
-0.010199126,0.004494491
0.028949951,0.004537236
0.21316166,0.004533536
0.001179245,0.00445618
-0.260698861,0.004118083
0.154540627,0.002787385
-0.225390984,0.002209633
0.060570071,0.003784964
0.035834267,0.003612425
0.101621622,0.003409404
-0.074582924,0.003441662
-0.15747614,0.003075647
-0.254247955,0.001937139
0.237130802,0.001340093
-0.225784447,0.00192132
